项目ID,项目名称,项目网址,审核状态,是否公开
4839425,Model-OpenSource-images,https://gitcode.com/ModelEngine/Model-OpenSource-images,2,1
7600339,Wan2.1-T2V-14B-Diffusers,https://gitcode.com/openMind/Wan2.1-T2V-14B-Diffusers,2,1
7639772,yolov10x,https://gitcode.com/openMind/yolov10x,2,1
7639640,GOT-OCR2_0,https://gitcode.com/openMind/GOT-OCR2_0,2,1
4288735,yuxp1,https://gitcode.com/yanfan/yuxp1,2,1
4289191,yuijh,https://gitcode.com/yanfan/yuijh,2,1
4288427,tx467,https://gitcode.com/yanfan/tx467,2,1
4301729,uytyb,https://gitcode.com/yanfan/uytyb,2,1
4072487,colpali,https://gitcode.com/yanfan/colpali,2,1
4496836,Tencent-Hunyuan-Large,https://gitcode.com/tencent_hunyuan/Tencent-Hunyuan-Large,2,1
4503933,HunyuanDiT,https://gitode.com/tencent_hunyuan/HunyuanDiT,2,1
4496824,HunyuanVideo-PromptRewrite,https://gitcode.com/tencent_hunyuan/HunyuanVideo-PromptRewrite,2,1
4496809,HunyuanVideo,https://gitcode.com/tencent_hunyuan/HunyuanVideo,2,1
4496850,Hunyuan3D-1,https://gitcode.com/tencent_hunyuan/Hunyuan3D-1,2,1
6177974,ERNIE-4.5-21B-A3B-Base-Paddle,https://gitcode.com/paddlepaddle/ERNIE-4.5-21B-A3B-Base-Paddle,2,1
6184866,ERNIE-4.5-300B-A47B-W4A8C8-TP4-Paddle,https://gitcode.com/paddlepaddle/ERNIE-4.5-300B-A47B-W4A8C8-TP4-Paddle,2,1
6182680,ERNIE-4.5-VL-424B-A47B-Paddle,https://gitcode.com/paddlepaddle/ERNIE-4.5-VL-424B-A47B-Paddle,2,1
6184865,ERNIE-4.5-300B-A47B-PT,https://gitcode.com/paddlepaddle/ERNIE-4.5-300B-A47B-PT,2,1
6186309,ERNIE-4.5-300B-A47B-Base-PT,https://gitcode.com/paddlepaddle/ERNIE-4.5-300B-A47B-Base-PT,2,1
6177418,ERNIE-4.5-0.3B-Paddle,https://gitcode.com/paddlepaddle/ERNIE-4.5-0.3B-Paddle,2,1
6182694,ERNIE-4.5-VL-28B-A3B-Base-Paddle,https://gitcode.com/paddlepaddle/ERNIE-4.5-VL-28B-A3B-Base-Paddle,2,1
6182696,ERNIE-4.5-VL-28B-A3B-Paddle,https://gitcode.com/paddlepaddle/ERNIE-4.5-VL-28B-A3B-Paddle,2,1
6182692,ERNIE-4.5-300B-A47B-Paddle,https://gitcode.com/paddlepaddle/ERNIE-4.5-300B-A47B-Paddle,2,1
6184876,ERNIE-4.5-VL-28B-A3B-Base-PT,https://gitcode.com/paddlepaddle/ERNIE-4.5-VL-28B-A3B-Base-PT,2,1
