项目ID,项目名称,项目网址,审核状态,是否公开
7245633,WAN2.2-14B-Rapid-AllInOne,https://gitcode.com/hf_mirrors/Phr00t/WAN2.2-14B-Rapid-AllInOne,2,0
7255229,Intern-S1-FP8,https://gitcode.com/hf_mirrors/internlm/Intern-S1-FP8,2,1
7265233,nunchaku-flux.1-krea-dev,https://gitcode.com/hf_mirrors/nunchaku-tech/nunchaku-flux.1-krea-dev,2,1
7352273,GLM-4.5V,https://gitcode.com/hf_mirrors/zai-org/GLM-4.5V,2,1
4288050,all-MiniLM-L6-v2,https://gitcode.com/mirrors/sentence-transformers/all-MiniLM-L6-v2,2,1
7451382,HunyuanVideo-Foley,https://gitcode.com/hf_mirrors/tencent/HunyuanVideo-Foley,2,1
7361932,gemma-3-270m-it-GGUF,https://gitcode.com/hf_mirrors/unsloth/gemma-3-270m-it-GGUF,1,1
7361974,Qwen3-Coder-30B-A3B-Instruct,https://gitcode.com/hf_mirrors/unsloth/Qwen3-Coder-30B-A3B-Instruct,2,0
7362620,Qwen-Image-Edit,https://gitcode.com/hf_mirrors/Qwen/Qwen-Image-Edit,3,1
7374148,DeepSeek-V3.1,https://gitcode.com/hf_mirrors/deepseek-ai/DeepSeek-V3.1,2,1
7477512,NextStep-1-Large,https://gitcode.com/hf_mirrors/stepfun-ai/NextStep-1-Large,2,1
7479230,Hermes-4-405B,https://gitcode.com/hf_mirrors/unsloth/Hermes-4-405B,2,0
7479271,Hunyuan-MT-Chimera-7B,https://gitcode.com/hf_mirrors/tencent/Hunyuan-MT-Chimera-7B,2,0
7476578,DeepSeek-V3.1-GGUF,https://gitcode.com/hf_mirrors/unsloth/DeepSeek-V3.1-GGUF,2,0
7478868,Hunyuan-GameCraft-1.0,https://gitcode.com/hf_mirrors/tencent/Hunyuan-GameCraft-1.0,2,0
7479499,gpt-oss-120b-GGUF,https://gitcode.com/hf_mirrors/unsloth/gpt-oss-120b-GGUF,2,0
