项目链接,项目名称,高亮词
https://ai.gitcode.com/hf_mirrors/deepseek-ai/Janus-Pro-1B,deepseek-ai/Janus-Pro-1B,Janus-Pro
https://ai.gitcode.com/hf_mirrors/deepseek-ai/Janus-Pro-1B,deepseek-ai/Janus-Pro-1B,多模态
https://ai.gitcode.com/hf_mirrors/deepseek-ai/Janus-Pro-1B,deepseek-ai/Janus-Pro-1B,自回归模型
https://ai.gitcode.com/hf_mirrors/deepseek-ai/Janus-Pro-1B,deepseek-ai/Janus-Pro-1B,文生图
https://ai.gitcode.com/hf_mirrors/deepseek-ai/Janus-Pro-1B,deepseek-ai/Janus-Pro-1B,AI写作
https://ai.gitcode.com/hf_mirrors/deepseek-ai/Janus-Pro-1B,deepseek-ai/Janus-Pro-1B,7B参数
https://ai.gitcode.com/hf_mirrors/deepseek-ai/Janus-Pro-1B,deepseek-ai/Janus-Pro-1B,统一模型
https://ai.gitcode.com/hf_mirrors/deepseek-ai/Janus-Pro-1B,deepseek-ai/Janus-Pro-1B,本地部署
https://ai.gitcode.com/hf_mirrors/deepseek-ai/DeepSeek-Prover-V1,deepseek-ai/DeepSeek-Prover-V1,DeepSeek-Prover
https://ai.gitcode.com/hf_mirrors/deepseek-ai/DeepSeek-Prover-V1,deepseek-ai/DeepSeek-Prover-V1,定理证明
https://ai.gitcode.com/hf_mirrors/deepseek-ai/DeepSeek-Prover-V1,deepseek-ai/DeepSeek-Prover-V1,合成数据
https://ai.gitcode.com/hf_mirrors/deepseek-ai/DeepSeek-Prover-V1,deepseek-ai/DeepSeek-Prover-V1,Lean-4
https://ai.gitcode.com/hf_mirrors/deepseek-ai/DeepSeek-Prover-V1,deepseek-ai/DeepSeek-Prover-V1,AI数学助手
https://ai.gitcode.com/hf_mirrors/deepseek-ai/DeepSeek-Prover-V1,deepseek-ai/DeepSeek-Prover-V1,Transformer
https://ai.gitcode.com/hf_mirrors/deepseek-ai/DeepSeek-V2.5,deepseek-ai/DeepSeek-V2.5,DeepSeek-V2.5
https://ai.gitcode.com/hf_mirrors/deepseek-ai/DeepSeek-V2.5,deepseek-ai/DeepSeek-V2.5,编程助手
