项目链接,项目名称,高亮词,gitcode_repo
https://ai.gitcode.com/hf_mirrors/deepseek-ai/Janus-Pro-1B,deepseek-ai/Janus-Pro-1B,Janus-Pro,5381840
https://ai.gitcode.com/hf_mirrors/deepseek-ai/Janus-Pro-1B,deepseek-ai/Janus-Pro-1B,多模态,5381840
https://ai.gitcode.com/hf_mirrors/deepseek-ai/Janus-Pro-1B,deepseek-ai/Janus-Pro-1B,自回归模型,5381840
https://ai.gitcode.com/hf_mirrors/deepseek-ai/Janus-Pro-1B,deepseek-ai/Janus-Pro-1B,文生图,5381840
https://ai.gitcode.com/hf_mirrors/deepseek-ai/Janus-Pro-1B,deepseek-ai/Janus-Pro-1B,AI写作,5381840
https://ai.gitcode.com/hf_mirrors/deepseek-ai/Janus-Pro-1B,deepseek-ai/Janus-Pro-1B,7B参数,5381840
https://ai.gitcode.com/hf_mirrors/deepseek-ai/Janus-Pro-1B,deepseek-ai/Janus-Pro-1B,统一模型,5381840
https://ai.gitcode.com/hf_mirrors/deepseek-ai/Janus-Pro-1B,deepseek-ai/Janus-Pro-1B,本地部署,5381840
https://ai.gitcode.com/hf_mirrors/deepseek-ai/DeepSeek-Prover-V1,deepseek-ai/DeepSeek-Prover-V1,DeepSeek-Prover,4629747
https://ai.gitcode.com/hf_mirrors/deepseek-ai/DeepSeek-Prover-V1,deepseek-ai/DeepSeek-Prover-V1,定理证明,4629747
https://ai.gitcode.com/hf_mirrors/deepseek-ai/DeepSeek-Prover-V1,deepseek-ai/DeepSeek-Prover-V1,合成数据,4629747
https://ai.gitcode.com/hf_mirrors/deepseek-ai/DeepSeek-Prover-V1,deepseek-ai/DeepSeek-Prover-V1,Lean-4,4629747
https://ai.gitcode.com/hf_mirrors/deepseek-ai/DeepSeek-Prover-V1,deepseek-ai/DeepSeek-Prover-V1,AI数学助手,4629747
https://ai.gitcode.com/hf_mirrors/deepseek-ai/DeepSeek-Prover-V1,deepseek-ai/DeepSeek-Prover-V1,Transformer,4629747
https://ai.gitcode.com/hf_mirrors/deepseek-ai/DeepSeek-V2.5,deepseek-ai/DeepSeek-V2.5,DeepSeek-V2.5,4629741
https://ai.gitcode.com/hf_mirrors/deepseek-ai/DeepSeek-V2.5,deepseek-ai/DeepSeek-V2.5,编程助手,4629741
https://ai.gitcode.com/hf_mirrors/deepseek-ai/DeepSeek-V2.5,deepseek-ai/DeepSeek-V2.5,指令遵循,4629741
https://ai.gitcode.com/hf_mirrors/deepseek-ai/DeepSeek-V2.5,deepseek-ai/DeepSeek-V2.5,文本生成,4629741
https://ai.gitcode.com/hf_mirrors/QuantStack/Wan2.2-T2V-A14B-GGUF,QuantStack/Wan2.2-T2V-A14B-GGUF,Wan2.2-T2V-A14B,7246183
https://ai.gitcode.com/hf_mirrors/QuantStack/Wan2.2-T2V-A14B-GGUF,QuantStack/Wan2.2-T2V-A14B-GGUF,文生视频,7246183
https://ai.gitcode.com/hf_mirrors/QuantStack/Wan2.2-T2V-A14B-GGUF,QuantStack/Wan2.2-T2V-A14B-GGUF,ComfyUI,7246183
https://ai.gitcode.com/hf_mirrors/QuantStack/Wan2.2-T2V-A14B-GGUF,QuantStack/Wan2.2-T2V-A14B-GGUF,量化模型,7246183
https://ai.gitcode.com/hf_mirrors/QuantStack/Wan2.2-T2V-A14B-GGUF,QuantStack/Wan2.2-T2V-A14B-GGUF,GGUF,7246183
https://ai.gitcode.com/hf_mirrors/QuantStack/Wan2.2-T2V-A14B-GGUF,QuantStack/Wan2.2-T2V-A14B-GGUF,Apache-License-2.0,7246183
https://ai.gitcode.com/hf_mirrors/deepseek-ai/JanusFlow-1.3B,deepseek-ai/JanusFlow-1.3B,JanusFlow,4629726
