项目链接,项目名称,高亮词
https://gitcode.com/hf_mirrors/internlm/Intern-S1-FP8,internlm/Intern-S1-FP8,InternLM大模型
https://gitcode.com/hf_mirrors/internlm/Intern-S1-FP8,internlm/Intern-S1-FP8,235B-MoE架构
https://gitcode.com/hf_mirrors/internlm/Intern-S1-FP8,internlm/Intern-S1-FP8,科学计算
https://gitcode.com/hf_mirrors/internlm/Intern-S1-FP8,internlm/Intern-S1-FP8,FP8量化
https://gitcode.com/hf_mirrors/internlm/Intern-S1-FP8,internlm/Intern-S1-FP8,6B参数
https://gitcode.com/hf_mirrors/internlm/Intern-S1-FP8,internlm/Intern-S1-FP8,Transformers
https://gitcode.com/hf_mirrors/internlm/Intern-S1-FP8,internlm/Intern-S1-FP8,多模态推理
https://gitcode.com/hf_mirrors/nunchaku-tech/nunchaku-flux.1-krea-dev,nunchaku-tech/nunchaku-flux.1-krea-dev,FLUX.1
https://gitcode.com/hf_mirrors/nunchaku-tech/nunchaku-flux.1-krea-dev,nunchaku-tech/nunchaku-flux.1-krea-dev,SVDQuant
https://gitcode.com/hf_mirrors/nunchaku-tech/nunchaku-flux.1-krea-dev,nunchaku-tech/nunchaku-flux.1-krea-dev,文本生成图像
https://gitcode.com/hf_mirrors/nunchaku-tech/nunchaku-flux.1-krea-dev,nunchaku-tech/nunchaku-flux.1-krea-dev,Diffusers
https://gitcode.com/hf_mirrors/nunchaku-tech/nunchaku-flux.1-krea-dev,nunchaku-tech/nunchaku-flux.1-krea-dev,ComfyUI
https://gitcode.com/hf_mirrors/nunchaku-tech/nunchaku-flux.1-krea-dev,nunchaku-tech/nunchaku-flux.1-krea-dev,INT4量化
https://gitcode.com/hf_mirrors/nunchaku-tech/nunchaku-flux.1-krea-dev,nunchaku-tech/nunchaku-flux.1-krea-dev,FP4量化
