项目ID,项目名称,项目网址,审核状态,是否公开
4541051,vilt-b32-finetuned-vqa,https://gitcode.com/hf_mirrors/dandelin/vilt-b32-finetuned-vqa,2,1
4541080,pegasus-xsum,https://gitcode.com/hf_mirrors/google/pegasus-xsum,2,1
4629741,DeepSeek-V2.5,https://gitcode.com/hf_mirrors/deepseek-ai/DeepSeek-V2.5,2,1
4629751,ESFT-gate-translation-lite,https://gitcode.com/hf_mirrors/deepseek-ai/ESFT-gate-translation-lite,3,1
4629752,ESFT-token-translation-lite,https://gitcode.com/hf_mirrors/deepseek-ai/ESFT-token-translation-lite,3,1
4629758,ESFT-token-code-lite,https://gitcode.com/hf_mirrors/deepseek-ai/ESFT-token-code-lite,3,1
4629727,Janus-1.3B,https://gitcode.com/hf_mirrors/deepseek-ai/Janus-1.3B,3,1
4629765,DeepSeek-Coder-V2-Lite-Base,https://gitcode.com/hf_mirrors/deepseek-ai/DeepSeek-Coder-V2-Lite-Base,3,1
4629724,Janus-Pro-1B,https://gitcode.com/hf_mirrors/deepseek-ai/Janus-Pro-1B,2,1
4629726,JanusFlow-1.3B,https://gitcode.com/hf_mirrors/deepseek-ai/JanusFlow-1.3B,2,1
4629746,DeepSeek-Prover-V1.5-RL,https://gitcode.com/hf_mirrors/deepseek-ai/DeepSeek-Prover-V1.5-RL,3,1
4629747,DeepSeek-Prover-V1,https://gitcode.com/hf_mirrors/deepseek-ai/DeepSeek-Prover-V1,2,1
4629761,ESFT-gate-summary-lite,https://gitcode.com/hf_mirrors/deepseek-ai/ESFT-gate-summary-lite,3,1
7246180,GraphsGPT-1W,https://gitcode.com/hf_mirrors/DaizeDong/GraphsGPT-1W,2,0
7245633,WAN2.2-14B-Rapid-AllInOne,https://gitcode.com/hf_mirrors/Phr00t/WAN2.2-14B-Rapid-AllInOne,2,0
7246183,Wan2.2-T2V-A14B-GGUF,https://gitcode.com/hf_mirrors/QuantStack/Wan2.2-T2V-A14B-GGUF,2,1
7246460,Wan2.2-TI2V-5B,https://gitcode.com/hf_mirrors/Wan-AI/Wan2.2-TI2V-5B,2,1
7251892,Wan2.2-TI2V-5B-GGUF,https://gitcode.com/hf_mirrors/QuantStack/Wan2.2-TI2V-5B-GGUF,2,0
7252218,Qwen3-30B-A3B-Instruct-2507,https://gitcode.com/hf_mirrors/Qwen/Qwen3-30B-A3B-Instruct-2507,2,0
7252009,Seed-X-PPO-7B-AWQ-Int4,https://gitcode.com/hf_mirrors/ByteDance-Seed/Seed-X-PPO-7B-AWQ-Int4,2,0
7251886,Wan2.2-I2V-A14B-Diffusers,https://gitcode.com/hf_mirrors/Wan-AI/Wan2.2-I2V-A14B-Diffusers,1,1
7251889,Seed-X-PPO-7B-GPTQ-Int8,https://gitcode.com/hf_mirrors/ByteDance-Seed/Seed-X-PPO-7B-GPTQ-Int8,2,0
7254761,SmallThinker-4BA0.6B-Instruct,https://gitcode.com/hf_mirrors/PowerInfer/SmallThinker-4BA0.6B-Instruct,2,0
7256109,Qwen3-Coder-30B-A3B-Instruct-GGUF,https://gitcode.com/hf_mirrors/unsloth/Qwen3-Coder-30B-A3B-Instruct-GGUF,2,0
7258290,deberta-v3-large,https://gitcode.com/hf_mirrors/microsoft/deberta-v3-large,2,1
7263682,Step1X-Edit,https://gitcode.com/hf_mirrors/stepfun-ai/Step1X-Edit,2,0
7280578,KwaiCoder-AutoThink-preview,https://gitcode.com/hf_mirrors/Kwaipilot/KwaiCoder-AutoThink-preview,2,1
7273311,whisper-tiny.en,https://gitcode.com/hf_mirrors/openai/whisper-tiny.en,2,1
5342555,vitpose-plus-large,https://gitcode.com/hf_mirrors/usyd-community/vitpose-plus-large,2,0
5342649,videomae-base,https://gitcode.com/hf_mirrors/MCG-NJU/videomae-base,2,0
5343007,TF_Decision_Trees,https://gitcode.com/hf_mirrors/keras-io/TF_Decision_Trees,2,1
5343152,french-camembert-postag-model,https://gitcode.com/hf_mirrors/gilf/french-camembert-postag-model,2,1
5343286,VideoChat-Flash-Qwen2-7B_res448,https://gitcode.com/hf_mirrors/OpenGVLab/VideoChat-Flash-Qwen2-7B_res448,3,1
5342825,text_summarization,https://gitcode.com/hf_mirrors/Falconsai/text_summarization,2,1
5343016,tabpfn-mix-1.0-regressor,https://gitcode.com/hf_mirrors/autogluon/tabpfn-mix-1.0-regressor,2,1
5343047,autotrain-dragino-7-7-max_495m-1860863627,https://gitcode.com/hf_mirrors/pcoloc/autotrain-dragino-7-7-max_495m-1860863627,2,1
5343373,VideoScore-v1.1,https://gitcode.com/hf_mirrors/TIGER-Lab/VideoScore-v1.1,2,1
5343456,MiniCPM-Llama3-V-2_5-int4,https://gitcode.com/hf_mirrors/openbmb/MiniCPM-Llama3-V-2_5-int4,2,1
5343927,nli-deberta-v3-base,https://gitcode.com/hf_mirrors/cross-encoder/nli-deberta-v3-base,2,0
5344261,DUSt3R_ViTLarge_BaseDecoder_512_dpt,https://gitcode.com/hf_mirrors/naver/DUSt3R_ViTLarge_BaseDecoder_512_dpt,2,1
5343692,MiniCPM-V,https://gitcode.com/hf_mirrors/openbmb/MiniCPM-V,2,1
5344135,LLaMA-Mesh,https://gitcode.com/hf_mirrors/Zhengyi/LLaMA-Mesh,2,0
5344114,BlenderLLM,https://gitcode.com/hf_mirrors/FreedomIntelligence/BlenderLLM,2,1
5357128,Wan2.1-I2V-14B-480P-gguf,https://gitcode.com/hf_mirrors/city96/Wan2.1-I2V-14B-480P-gguf,2,1
5357835,HumAware-VAD,https://gitcode.com/hf_mirrors/CuriousMonkey7/HumAware-VAD,2,1
7723247,Apriel-1.5-15b-Thinker,https://gitcode.com/hf_mirrors/ServiceNow-AI/Apriel-1.5-15b-Thinker,2,1
7744840,granite-4.0-h-small,https://gitcode.com/hf_mirrors/unsloth/granite-4.0-h-small,3,1
7744860,granite-4.0-h-micro-GGUF,https://gitcode.com/hf_mirrors/unsloth/granite-4.0-h-micro-GGUF,1,1
7745309,granite-4.0-h-small-FP8-Dynamic,https://gitcode.com/hf_mirrors/unsloth/granite-4.0-h-small-FP8-Dynamic,1,1
7748549,Apertus-70B-Instruct-2509-unsloth-bnb-4bit,https://gitcode.com/hf_mirrors/unsloth/Apertus-70B-Instruct-2509-unsloth-bnb-4bit,2,0
4443747,bge-reranker-v2-m3,https://gitcode.com/hf_mirrors/BAAI/bge-reranker-v2-m3,2,1
4443736,bge-base-en-v1.5,https://gitcode.com/hf_mirrors/BAAI/bge-base-en-v1.5,2,1
4443738,bge-small-en-v1.5,https://gitcode.com/hf_mirrors/BAAI/bge-small-en-v1.5,2,1
5670630,Cosmos-Reason1-7B,https://gitcode.com/hf_mirrors/nvidia/Cosmos-Reason1-7B,2,1
5687738,SWE-Dev-9B,https://gitcode.com/hf_mirrors/THUDM/SWE-Dev-9B,2,1
5691715,Seed-Coder-8B-Reasoning,https://gitcode.com/hf_mirrors/ByteDance-Seed/Seed-Coder-8B-Reasoning,2,0
5691679,distilbart-xsum-12-6,https://gitcode.com/hf_mirrors/sshleifer/distilbart-xsum-12-6,2,1
5721619,tts-hifigan-libritts-16kHz,https://gitcode.com/hf_mirrors/speechbrain/tts-hifigan-libritts-16kHz,2,0
5375572,CogACT-Base,https://gitcode.com/hf_mirrors/CogACT/CogACT-Base,2,0
5381484,pix2struct-chartqa-base,https://gitcode.com/hf_mirrors/google/pix2struct-chartqa-base,2,0
7310626,GLM-4.5-GGUF,https://gitcode.com/hf_mirrors/unsloth/GLM-4.5-GGUF,2,0
7352273,GLM-4.5V,https://gitcode.com/hf_mirrors/zai-org/GLM-4.5V,2,1
7752869,Ovi,https://gitcode.com/hf_mirrors/chetwinlow1/Ovi,2,0
7754988,Ming-UniVision-16B-A3B,https://gitcode.com/hf_mirrors/inclusionAI/Ming-UniVision-16B-A3B,2,0
7753902,fuxk_comfy,https://gitcode.com/hf_mirrors/eddy1111111/fuxk_comfy,2,0
7754256,Qwen3-VL-30B-A3B-Instruct,https://gitcode.com/hf_mirrors/Qwen/Qwen3-VL-30B-A3B-Instruct,3,1
